"tractID","CCA","blocks","pop","HH","pctPop","pctHH"
"17031410600","HYDE PARK",23,837,353,1,1
"17031410700","HYDE PARK",14,436,189,1,1
"17031410800","HYDE PARK",19,1234,659,1,1
"17031410900","HYDE PARK",22,2584,1470,1,1
"17031411000","HYDE PARK",37,2354,997,1,1
"17031411100","HYDE PARK",22,985,555,1,1
"17031411200","HYDE PARK",23,1381,573,1,1
"17031420100","HYDE PARK",1,75,28,0.0635593220338983,0.0646651270207852
"17031420100","WOODLAWN",25,1105,405,0.936440677966102,0.935334872979215
"17031420200","WOODLAWN",19,1490,614,1,1
"17031420300","WOODLAWN",12,585,261,1,1
"17031420400","WOODLAWN",17,547,223,1,1
"17031420500","WOODLAWN",30,1695,685,1,1
"17031420600","WOODLAWN",31,3498,2058,1,1
"17031420700","WOODLAWN",77,4155,1617,1,1
"17031420800","WOODLAWN",36,1349,585,1,1
"17031421200","WOODLAWN",31,1225,537,1,1
"17031430101","SOUTH SHORE",32,1859,867,1,1
"17031430102","SOUTH SHORE",17,874,434,1,1
"17031430200","SOUTH SHORE",45,3123,1548,1,1
"17031430300","SOUTH SHORE",47,2649,977,1,1
"17031430400","GREATER GRAND CROSSING",1,14,15,0.00357598978288633,0.0100942126514132
"17031430400","SOUTH SHORE",65,3901,1471,0.996424010217114,0.989905787348587
"17031430500","SOUTH SHORE",37,2497,1541,1,1
"17031430600","SOUTH SHORE",30,1818,731,1,1
"17031430700","SOUTH SHORE",15,662,244,1,1
"17031430800","SOUTH SHORE",40,2928,1249,1,1
"17031430900","SOUTH SHORE",37,1913,772,1,1
"17031431200","SOUTH SHORE",74,3931,1954,1,1
"17031431301","SOUTH SHORE",42,1755,666,1,1
"17031431302","SOUTH SHORE",45,2715,1159,1,1
"17031431400","SOUTH SHORE",34,1849,800,1,1
"17031440101","CHATHAM",39,1744,645,1,1
"17031440102","CHATHAM",48,2182,803,1,1
"17031440201","CHATHAM",60,2782,1345,1,1
"17031440202","CHATHAM",56,2155,782,1,1
"17031440300","CHATHAM",108,7152,3433,1,1
"17031440600","CHATHAM",65,2835,1448,1,1
"17031440700","CHATHAM",36,1652,675,1,1
"17031440800","CHATHAM",39,1347,582,1,1
"17031440900","CHATHAM",76,3357,1337,1,1
"17031450300","AVALON PARK",144,7379,2879,1,1
"17031460100","SOUTH CHICAGO",80,4406,1732,0.95637074017799,0.931182795698925
"17031460100","SOUTH SHORE",1,0,0,0,0
"17031460100",NA,4,201,128,0.04362925982201,0.0688172043010753
"17031460200","SOUTH CHICAGO",49,2569,1131,1,1
"17031460301","SOUTH CHICAGO",53,3316,1393,1,1
"17031460302","SOUTH CHICAGO",77,5101,2448,1,1
"17031460400","SOUTH CHICAGO",64,3885,1631,1,1
