BLOCK,TRACT,CCA,TR_POP_RAT,TR_HH_RAT,TR_HU_RAT
170310107012014,17031010701,Rogers Park,0.005693582,0.006514658,0.006060606
170310107011010,17031010701,Rogers Park,0.029761905,0.040390879,0.040606061
170310107012011,17031010701,Rogers Park,0.011904762,0.013680782,0.013939394
170310107012004,17031010701,Rogers Park,0.032091097,0.029315961,0.03030303
170310107011002,17031010701,Rogers Park,0.050724638,0.061889251,0.061818182
170310107011003,17031010701,Rogers Park,0.011128364,0.016286645,0.016363636
170310107012012,17031010701,Rogers Park,0.013975155,0.018241042,0.016969697
170310107012017,17031010701,Rogers Park,0.017598344,0.019543974,0.019393939
170310107011005,17031010701,Rogers Park,0.010610766,0.013029316,0.012727273
170310107012013,17031010701,Rogers Park,0.022774327,0.034527687,0.036363636
170310107011015,17031010701,Rogers Park,0.011387164,0.009120521,0.008484848
170310107012000,17031010701,Rogers Park,0.066511387,0.055374593,0.058787879
170310107012001,17031010701,Rogers Park,0.038302277,0.038436482,0.038787879
170310107012010,17031010701,Rogers Park,0.061335404,0.072964169,0.06969697
170310107012015,17031010701,Rogers Park,0.050207039,0.046905537,0.045454545
170310107011009,17031010701,Rogers Park,0.061335404,0.054723127,0.056363636
170310107012006,17031010701,Rogers Park,0.031832298,0.041042345,0.041212121
170310107012018,17031010701,Rogers Park,0.026656315,0.031270358,0.032121212
170310107012009,17031010701,Rogers Park,0.016563147,0.013680782,0.013333333
170310107011013,17031010701,Rogers Park,0.011645963,0.01237785,0.012121212
170310107011016,17031010701,Rogers Park,0.062888199,0.041693811,0.042424242
170310107011006,17031010701,Rogers Park,0,0,0
170310107012003,17031010701,Rogers Park,0.05952381,0.043648208,0.041818182
170310107012007,17031010701,Rogers Park,0.038302277,0.031921824,0.032727273
170310107012005,17031010701,Rogers Park,0.032349896,0.037785016,0.039393939
170310107012008,17031010701,Rogers Park,0.00931677,0.009771987,0.01030303
170310107011012,17031010701,Rogers Park,0.015269151,0.014332248,0.013939394
170310107011007,17031010701,Rogers Park,0,0,0
170310107022006,17031010702,Rogers Park,0.001166634,0.002615063,0.002296739
170310107021002,17031010702,Rogers Park,0.00194439,0.001046025,0.000918695
170310107022002,17031010702,Rogers Park,0.000388878,0,0
170310107023004,17031010702,Rogers Park,0.020027221,0.014644351,0.012861736
170310107021004,17031010702,Rogers Park,0.013610733,0.008891213,0.01607717
170310107022003,17031010702,Rogers Park,0.015166245,0.011506276,0.011943041
170310107024001,17031010702,Rogers Park,0.023332685,0.021966527,0.021129995
170310107023001,17031010702,Rogers Park,0.065525958,0.085774059,0.081304548
170310107022005,17031010702,Rogers Park,0,0,0
170310107022004,17031010702,Rogers Park,0.017305075,0.012029289,0.010564998
170310107021006,17031010702,Rogers Park,0.057359518,0.068514644,0.061552595
170310107024000,17031010702,Rogers Park,0.045693175,0.052824268,0.047772164
170310107023008,17031010702,Rogers Park,0.080886642,0.058054393,0.053284336
170310107022008,17031010702,Rogers Park,0.05483181,0.043933054,0.042719339
170310107024002,17031010702,Rogers Park,0.0204161,0.016736402,0.01607717
170310107021001,17031010702,Rogers Park,0.025665954,0.021443515,0.027101516
170310107021009,17031010702,Rogers Park,0.002138829,0.003138075,0.00413413
170310107021012,17031010702,Rogers Park,0.048220883,0.035564854,0.034451079
170310107023006,17031010702,Rogers Park,0.051526346,0.054916318,0.062471291
170310107021010,17031010702,Rogers Park,0.002527708,0.002615063,0.002296739
170310107023005,17031010702,Rogers Park,0.001361073,0.000523013,0.000459348
